Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Google Subscription;UKRAINE;UA;Stream;MOBILE - Stream;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;iTunes;UNITED KINGDOM;GB;Stream;Song—Match Download—Plus (DRM-free);4  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;iTunes;UNITED KINGDOM;GB;Stream;Song—Match Download—Plus (DRM-free);1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Sound Exchange;UNITED STATES;US;Performance;DMX Music;1  ;$0,02
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Sound Exchange;UNITED STATES;US;Performance;DMX Music;1  ;$0,04
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;AUSTRALIA;AU;Stream;Stream;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;SPAIN;ES;Stream;Stream;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Spotify;UNITED KINGDOM;GB;Stream;Stream;3  ;$0,02
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;UNITED KINGDOM;GB;Stream;Stream;64  ;$0,35
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;IRELAND;IE;Stream;Stream;5  ;$0,03
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;PORTUGAL;PT;Stream;Stream;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Spotify;UNITED STATES;US;Stream;Stream;9  ;$0,04
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Spotify;UNITED STATES;US;Stream;Stream;3  ;$0,02
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Wimp;ARGENTINA;AR;Stream;Hifi;1  ;$0,01
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Wimp;UNITED KINGDOM;GB;Stream;Hifi;4  ;$0,09
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Wimp;UNITED KINGDOM;GB;Stream;Hifi;2  ;$0,04
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Wimp;UNITED KINGDOM;GB;Stream;Hifi;1  ;$0,02
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Wimp;UNITED KINGDOM;GB;Stream;Hifi;2  ;$0,05
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Wimp;UNITED KINGDOM;GB;Stream;Hifi;2  ;$0,05
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;ARGENTINA;AR;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;BELGIUM;BE;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;BELGIUM;BE;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;BELGIUM;BE;Stream;;2  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;CANADA;CA;Stream;;4  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;SWITZERLAND;CH;Stream;;3  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;SWITZERLAND;CH;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;CZECH REPUBLIC;CZ;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;CZECH REPUBLIC;CZ;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;GERMANY;DE;Stream;;8  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;GERMANY;DE;Stream;;5  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;SPAIN;ES;Stream;;2  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;SPAIN;ES;Stream;;2  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;SPAIN;ES;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;SPAIN;ES;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;FRANCE;FR;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;FRANCE;FR;Stream;;14  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;UNITED KINGDOM;GB;Stream;;17  ;$0,01
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;UNITED KINGDOM;GB;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;UNITED KINGDOM;GB;Stream;;2  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;UNITED KINGDOM;GB;Stream;;2  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;HONG KONG;HK;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;HONG KONG;HK;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;HUNGARY;HU;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;HUNGARY;HU;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;INDONESIA;ID;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;ISRAEL;IL;Stream;;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;INDIA;IN;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;INDIA;IN;Stream;;4  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;ITALY;IT;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;JAPAN;JP;Stream;;5  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;JAPAN;JP;Stream;;5  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;JAPAN;JP;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;MEXICO;MX;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;NETHERLANDS;NL;Stream;;2  ;$0,00
R.W.W.;Jesse James;Track;3760231765044;BEHC61800014;digital-BAD45002;Youtube;NETHERLANDS;NL;Stream;;2  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;NETHERLANDS;NL;Stream;;1  ;$0,00
R.W.W.;Every Once In A While;Track;3760231765044;BEHC61800013;digital-BAD45002;Youtube;NORWAY;NO;Stream;;1  ;$0,00
